                            OLS Regression Results                            
==============================================================================
Dep. Variable:         weaptype_score   R-squared:                       0.717
Model:                            OLS   Adj. R-squared:                  0.431
Method:                 Least Squares   F-statistic:                     235.6
Date:                Wed, 12 Nov 2025   Prob (F-statistic):          3.76e-288
Time:                        22:28:29   Log-Likelihood:                 1438.4
No. Observations:                 648   AIC:                            -2225.
Df Residuals:                     322   BIC:                            -766.3
Df Model:                         325                                         
Covariance Type:                  HC1                                         
=============================================================================================
                                coef    std err          z      P>|z|      [0.025      0.975]
C(time_period)[T.2002-04]     0.0811      0.019      4.279      0.000       0.044       0.118
C(time_period)[T.2002-05]     0.0371      0.028      1.330      0.184      -0.018       0.092
C(time_period)[T.2002-06]     0.0318      0.015      2.169      0.030       0.003       0.061
C(time_period)[T.2002-07]     0.0302      0.012      2.515      0.012       0.007       0.054
C(time_period)[T.2002-08]     0.0336      0.013      2.556      0.011       0.008       0.059
C(time_period)[T.2002-09]    -0.0301      0.010     -3.152      0.002      -0.049      -0.011
C(time_period)[T.2002-10]     0.0183      0.027      0.675      0.500      -0.035       0.071
C(time_period)[T.2002-11]     0.0296      0.035      0.844      0.399      -0.039       0.098
C(time_period)[T.2002-12]     0.0040      0.041      0.098      0.922      -0.076       0.085
C(time_period)[T.2003-01]    -0.0058      0.016     -0.362      0.718      -0.037       0.026
C(time_period)[T.2003-02]     0.0271      0.008      3.495      0.000       0.012       0.042
C(time_period)[T.2003-03]     0.0599      0.017      3.427      0.001       0.026       0.094
C(time_period)[T.2003-04]     0.0233      0.016      1.495      0.135      -0.007       0.054
C(time_period)[T.2003-05]     0.0442      0.008      5.756      0.000       0.029       0.059
C(time_period)[T.2003-06]     0.3449      0.100      3.452      0.001       0.149       0.541
C(time_period)[T.2003-07]     0.0343      0.010      3.472      0.001       0.015       0.054
C(time_period)[T.2003-08]     0.0228      0.023      0.996      0.319      -0.022       0.068
C(time_period)[T.2003-09]     0.0540      0.012      4.339      0.000       0.030       0.078
C(time_period)[T.2003-10]     0.0702      0.010      7.025      0.000       0.051       0.090
C(time_period)[T.2003-11]    -0.0267      0.110     -0.243      0.808      -0.242       0.189
C(time_period)[T.2003-12]     0.0878      0.072      1.220      0.222      -0.053       0.229
C(time_period)[T.2004-01]     0.0540      0.012      4.339      0.000       0.030       0.078
C(time_period)[T.2004-02]     0.0328      0.103      0.319      0.750      -0.169       0.235
C(time_period)[T.2004-03]     0.0540      0.012      4.339      0.000       0.030       0.078
C(time_period)[T.2004-04]     0.0397      0.009      4.455      0.000       0.022       0.057
C(time_period)[T.2004-05]     0.0540      0.012      4.339      0.000       0.030       0.078
C(time_period)[T.2004-06]     0.0371      0.010      3.721      0.000       0.018       0.057
C(time_period)[T.2004-07]     0.0218      0.024      0.913      0.361      -0.025       0.068
C(time_period)[T.2004-08]     0.0540      0.012      4.339      0.000       0.030       0.078
C(time_period)[T.2004-09]     0.0282      0.011      2.577      0.010       0.007       0.050
C(time_period)[T.2004-10]     0.0446      0.008      5.799      0.000       0.030       0.060
C(time_period)[T.2004-11]     0.0409      0.024      1.685      0.092      -0.007       0.088
