                            OLS Regression Results                            
==============================================================================
Dep. Variable:           attack_count   R-squared:                       0.650
Model:                            OLS   Adj. R-squared:                  0.298
Method:                 Least Squares   F-statistic:                     1.844
Date:                Wed, 12 Nov 2025   Prob (F-statistic):           1.47e-08
Time:                        15:01:45   Log-Likelihood:                -965.79
No. Observations:                 670   AIC:                             2606.
Df Residuals:                     333   BIC:                             4125.
Df Model:                         336                                         
Covariance Type:            nonrobust                                         
=============================================================================================
                                coef    std err          t      P>|t|      [0.025      0.975]
C(time_period)[T.1995-09]    -0.5000      1.451     -0.345      0.731      -3.354       2.354
C(time_period)[T.1995-10]    -1.0000      1.451     -0.689      0.491      -3.854       1.854
C(time_period)[T.1995-11]    -1.0000      1.451     -0.689      0.491      -3.854       1.854
C(time_period)[T.1995-12]    -1.5000      1.451     -1.034      0.302      -4.354       1.354
C(time_period)[T.1996-01]    -1.0000      1.451     -0.689      0.491      -3.854       1.854
C(time_period)[T.1996-02]    -2.0000      1.451     -1.379      0.169      -4.854       0.854
C(time_period)[T.1996-03]    -1.0000      1.451     -0.689      0.491      -3.854       1.854
C(time_period)[T.1996-04]    -1.5000      1.451     -1.034      0.302      -4.354       1.354
C(time_period)[T.1996-05]    -1.0000      1.451     -0.689      0.491      -3.854       1.854
C(time_period)[T.1996-06]    -1.5000      1.451     -1.034      0.302      -4.354       1.354
C(time_period)[T.1996-07] -1.162e-13      1.451  -8.01e-14      1.000      -2.854       2.854
C(time_period)[T.1996-08]    -1.0000      1.451     -0.689      0.491      -3.854       1.854
C(time_period)[T.1996-09]    -0.5000      1.451     -0.345      0.731      -3.354       2.354
C(time_period)[T.1996-10]    -2.0000      1.451     -1.379      0.169      -4.854       0.854
C(time_period)[T.1996-11]    -1.0000      1.451     -0.689      0.491      -3.854       1.854
C(time_period)[T.1996-12]    -2.0000      1.451     -1.379      0.169      -4.854       0.854
C(time_period)[T.1997-01]    -0.5000      1.451     -0.345      0.731      -3.354       2.354
C(time_period)[T.1997-02] -1.188e-13      1.451  -8.19e-14      1.000      -2.854       2.854
C(time_period)[T.1997-03]    -0.5000      1.451     -0.345      0.731      -3.354       2.354
C(time_period)[T.1997-04]    -1.0000      1.451     -0.689      0.491      -3.854       1.854
C(time_period)[T.1997-05]    -1.0000      1.451     -0.689      0.491      -3.854       1.854
C(time_period)[T.1997-06]    -1.5000      1.451     -1.034      0.302      -4.354       1.354
C(time_period)[T.1997-07]    -0.5000      1.451     -0.345      0.731      -3.354       2.354
C(time_period)[T.1997-08]    -2.0000      1.451     -1.379      0.169      -4.854       0.854
